Local authority code,Local authority name,Ward code,Ward name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020
E08000003,Manchester,E05011350,Ancoats & Beswick,"23,809","24,986","26,317","25,943","24,436","23,941","23,329","23,800","23,610","25,143","24,466","27,365","27,433","25,403","29,755","24,688","26,647","25,447","23,444","26,708","22,935","29,238","43,885","85,365","88,979","88,721","80,640","31,272","73,608","79,050","95,670","109,273","121,358","121,200","113,972","104,387","97,595","124,170","137,707","138,683","139,984","136,367","150,538","150,659","153,109","155,765","149,971","151,842","150,779","148,634","145,763","147,429","142,711","139,801","140,253","134,326","136,339","137,652","132,851","129,911","130,260","128,588","139,808","141,996","144,283","144,857","140,398","139,056","136,615","132,514","132,833","132,844","139,536","141,116","146,252","151,274","153,383","156,886","156,924","158,548","160,171","166,540","172,724","171,836","175,300","173,547","180,525","195,480","203,006","211,527","212,028","217,395","224,322","225,160","236,843","244,958","249,300","255,368","253,860","255,205"
E08000003,Manchester,E05011351,Ardwick,"30,860","28,732","27,712","27,101","27,164","26,499","27,740","30,371","32,650","33,733","34,867","37,505","37,854","38,123","40,718","48,445","52,317","56,287","57,494","61,879","58,932","64,944","66,432","65,263","69,436","55,197","58,824","61,106","61,590","64,194","61,154","66,125","72,524","87,851","101,795","105,117","108,517","117,063","120,802","136,265","136,702","129,996","129,485","122,654","126,684","131,759","136,335","138,079","136,860","136,507","135,442","133,803","127,445","120,208","103,198","104,218","107,310","98,228","110,096","112,051","113,860","121,678","118,707","113,868","113,959","107,360","114,107","120,101","119,958","118,337","120,689","124,111","125,873","128,831","129,002","128,184","127,434","124,831","125,129","125,543","133,303","132,645","137,879","142,314","140,918","150,145","151,073","149,636","157,219","163,216","167,120","173,783","184,072","186,984","189,934","192,072","200,671","204,674","209,456","211,164"
E08000003,Manchester,E05011352,Baguley,"36,878","37,543","39,351","39,547","39,163","39,588","39,806","44,261","48,592","51,233","55,573","58,493","61,056","60,680","62,525","60,310","59,325","59,524","61,178","62,230","66,456","65,655","63,493","64,558","59,554","61,302","63,295","65,901","69,180","69,344","70,523","73,235","77,604","82,457","82,153","83,348","83,901","85,130","97,534","103,725","110,774","115,150","114,950","115,164","116,046","117,243","121,388","125,249","123,231","123,229","119,099","112,870","113,076","111,456","110,167","107,621","106,603","106,436","105,516","106,281","107,772","104,964","102,405","103,301","99,247","102,903","103,170","105,730","105,567","105,961","105,398","104,205","105,075","106,996","113,965","120,558","126,736","127,072","125,963","126,188","125,864","128,052","127,317","129,726","132,359","137,478","142,828","152,192","153,705","150,544","153,005","147,347","154,130","157,363","156,377","160,902","157,226","160,757","162,586","167,839"
E08000003,Manchester,E05011353,Brooklands,"51,813","49,846","49,257","48,649","48,905","52,263","52,676","55,689","58,124","57,949","59,778","60,009","59,965","60,659","60,370","62,297","65,401","67,122","70,382","73,773","77,987","78,618","79,050","78,383","76,038","76,811","80,233","84,437","90,307","95,282","98,940","102,042","106,109","109,379","111,230","117,881","121,383","125,872","129,336","130,850","132,312","130,800","140,828","143,021","146,103","151,204","150,079","150,341","153,539","152,972","152,295","155,418","151,911","153,603","156,079","146,005","141,992","135,690","136,587","135,907","137,474","135,637","127,184","123,760","114,974","119,417","121,376","130,210","131,042","133,243","136,261","132,323","145,880","143,149","151,935","152,530","150,027","151,349","151,753","157,130","165,112","167,689","165,641","168,630","164,495","171,001","178,641","181,597","184,775","185,888","187,729","191,197","193,051","193,968","193,956","194,151","195,927","201,087","203,204","210,834"
E08000003,Manchester,E05011354,Burnage,"44,584","43,514","42,451","41,527","41,269","41,743","44,653","45,395","48,804","49,772","48,953","49,379","49,106","49,640","49,610","50,235","48,406","48,989","49,299","50,381","54,011","54,473","58,407","61,272","61,138","61,417","64,933","68,035","72,920","78,010","81,498","89,198","94,780","100,049","105,562","109,780","110,746","111,212","116,077","121,518","128,625","134,263","139,866","144,435","148,981","152,012","150,864","152,950","154,957","156,183","162,207","161,592","156,876","150,499","143,695","132,409","132,856","134,443","134,790","135,537","136,699","139,205","138,954","138,433","136,179","132,937","131,221","132,537","132,320","129,756","129,669","130,390","133,419","135,035","137,146","138,664","138,381","139,523","144,820","150,191","156,677","159,076","158,900","165,030","172,458","176,146","184,400","191,754","194,121","201,616","202,508","197,257","198,926","198,432","208,947","217,294","221,275","225,661","227,593","231,481"
E08000003,Manchester,E05011355,Charlestown,"32,775","33,383","32,785","32,730","32,538","32,349","33,517","34,898","37,710","36,550","36,626","37,371","38,307","40,407","45,341","45,423","47,935","49,892","48,696","49,231","49,898","49,477","50,033","54,216","53,947","55,196","57,485","54,874","56,959","59,100","61,074","65,942","72,343","74,725","79,189","84,149","84,082","85,900","87,169","94,973","107,794","108,749","116,630","118,380","126,218","131,264","130,592","130,203","123,499","124,085","119,673","118,656","118,258","112,280","112,457","112,897","114,622","116,886","110,962","111,496","105,295","99,054","99,388","92,989","95,161","98,830","95,281","95,118","94,455","93,301","92,626","93,948","91,173","90,690","92,534","98,321","103,428","110,691","118,590","121,166","127,013","129,441","131,697","130,127","133,238","133,852","134,862","139,746","141,438","144,182","142,560","145,104","147,212","144,659","146,192","146,582","140,818","142,386","142,414","142,416"
E08000003,Manchester,E05011356,Cheetham,"27,867","26,223","29,146","29,037","26,938","28,134","24,729","24,786","25,952","25,969","27,104","29,179","30,762","32,440","32,008","31,096","29,936","30,445","30,379","35,618","36,814","35,788","36,316","34,742","35,658","37,192","40,080","41,365","66,120","74,769","76,064","77,017","71,214","69,178","74,722","84,063","100,322","104,163","110,368","111,358","107,218","118,304","130,524","136,240","140,304","140,432","134,245","131,976","137,264","144,206","147,440","151,549","141,696","130,926","120,258","109,558","108,067","105,906","107,821","107,972","109,370","110,025","106,101","107,149","105,026","99,526","100,992","97,399","98,583","107,486","107,754","107,927","110,412","112,306","115,047","116,719","115,560","113,233","115,037","124,355","129,714","131,820","134,906","133,273","134,285","136,172","136,141","137,897","137,300","137,277","140,976","140,600","142,520","145,738","145,388","147,416","146,056","144,282","143,283","137,482"
E08000003,Manchester,E05011357,Chorlton,"57,267","56,953","55,654","55,226","54,977","56,117","57,154","59,099","61,275","62,653","64,353","68,045","70,352","71,640","74,867","77,721","79,186","82,041","85,530","90,666","96,623","100,264","103,807","105,068","106,681","107,724","114,492","126,108","133,403","138,881","144,392","152,260","157,272","161,171","167,135","174,013","179,084","183,658","192,222","197,467","198,090","200,441","191,296","193,027","199,655","206,269","221,603","231,928","231,588","237,477","238,761","224,028","228,035","212,515","201,169","211,813","219,409","225,248","235,696","240,071","239,785","242,312","234,467","234,323","236,401","227,086","231,221","234,909","234,111","247,788","245,675","250,185","252,354","251,014","257,199","254,797","250,511","252,666","252,104","268,199","283,023","282,586","289,854","288,784","298,003","311,556","311,553","321,517","319,905","327,234","335,787","336,925","340,118","338,567","327,591","324,483","327,796","327,998","341,355","352,494"
E08000003,Manchester,E05011358,Chorlton Park,"54,429","56,008","54,689","55,016","56,255","56,761","59,228","59,123","59,692","60,087","59,700","63,719","66,266","67,854","69,016","69,499","70,154","71,189","74,329","78,209","86,565","88,913","89,169","92,581","91,065","98,561","106,246","111,320","120,258","124,290","129,164","139,452","149,605","149,872","153,725","161,537","154,928","159,885","169,846","171,849","178,473","180,144","176,156","177,524","183,945","188,730","199,005","207,725","207,841","214,370","216,689","206,522","207,979","197,627","184,724","186,617","186,437","194,460","199,819","207,124","214,984","212,585","206,736","208,970","204,017","202,827","207,693","207,856","217,173","215,759","220,005","219,303","225,558","226,581","222,580","227,408","219,066","217,437","222,097","227,063","232,565","243,808","246,422","251,072","265,997","279,455","281,267","282,340","277,174","275,520","284,348","295,088","310,797","316,769","315,285","313,707","306,228","296,318","300,653","295,929"
E08000003,Manchester,E05011359,Clayton & Openshaw,"21,163","20,590","20,528","20,363","21,024","20,292","21,009","20,710","19,006","19,804","18,584","19,261","21,676","20,354","20,120","18,913","18,039","17,176","15,872","15,704","16,233","17,174","18,845","19,437","19,764","20,860","20,429","21,250","23,774","24,362","26,259","33,520","34,360","38,924","40,739","43,807","47,267","48,649","58,623","65,939","71,236","74,454","76,502","84,315","92,910","96,303","98,633","103,253","104,290","106,246","105,378","97,946","90,432","90,039","90,338","89,170","93,617","91,424","90,852","87,355","87,262","88,738","86,176","85,599","84,792","84,499","83,176","80,542","71,623","71,462","69,102","69,288","69,556","70,986","72,830","77,337","80,022","83,516","86,617","88,573","88,291","88,939","89,118","91,329","102,248","105,833","112,753","115,426","120,284","121,879","123,288","127,259","132,339","135,876","133,112","132,561","133,411","137,399","141,418","144,760"
